Kangaroo Island Council	Colorado	641	1
Manche	Colorado	418	2
gorod Vladivostok	Colorado	375	3
George Town Council	Colorado	283	4
Finistère	Colorado	269	5
Bouches-du-Rhône	Colorado	243	6
Pyrénées-Atlantiques	Colorado	226	7
Calvados	Colorado	201	8
Pyrénées-Orientales	Colorado	195	9
Queenscliffe Borough	Colorado	177	10
Alpes-Maritimes	Colorado	155	11
Smith's	Colorado	147	12
Kota Denpasar	Colorado	131	13
Torbay	Colorado	125	14
City of Cockburn	Colorado	118	15
Cagayan	Colorado	114	16
Leipzig	Colorado	109	17
Karlsruhe	Colorado	106	18
Ma'Oputasi	Colorado	102	19
Oriental Mindoro	Colorado	97	20
Las Palmas	Colorado	96	21
Dresden	Colorado	95	22
North Ayrshire	Colorado	93	23
Città Metropolitana di Napoli	Colorado	92	25
Siquijor	Colorado	92	24
Eastern Samar	Colorado	87	27
Hurghada	Colorado	87	26
Provincia di Trieste	Colorado	85	28
Santa Cruz de Tenerife	Colorado	81	29
Ille-et-Vilaine	Colorado	79	30
