American Samoa	United States Minor Outlying Islands	38	12
Aruba	Netherlands Antilles	51	9
Bahamas	United Kingdom	418	4
Christmas Island	United States Minor Outlying Islands	8	21
Curacao	Netherlands Antilles	27	16
French Polynesia	France	967	2
French Southern Territories	France	5	27
Guam	United States Minor Outlying Islands	125	8
Hong Kong	China	245	5
Iran, Islamic Republic of	Iran	40	10
Korea, Republic of	South Korea	22	17
Libyan Arab Jamahiriya	Libya	6	24
Micronesia, Federated States of	Micronesia	149	7
Norfolk Island	Australia	9	20
Northern Mariana Islands	United States Minor Outlying Islands	7	22
Palestinian Territory, Occupied	Palestinian Territory (Palestine)	5	26
Pitcairn	United Kingdom	6	23
Puerto Rico	United States Minor Outlying Islands	1773	1
Saint Helena	United Kingdom	13	19
Samoa	Samoa (Western Samoa)	202	6
Scotland	United Kingdom	4	28
South Georgia and the South Sandwich Islands	United Kingdom	13	18
Tanganyika	Tanzania	3	30
Tasmania	Australia	3	29
Turks and Caicos Islands	United States Minor Outlying Islands	35	13
USA	United States	33	15
Viet Nam	Vietnam	433	3
Virgin Islands, British	United Kingdom	38	11
Virgin Islands, U.S.	United States Minor Outlying Islands	33	14
Zanzibar	Tanzania	5	25
